"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1288","Mock location as Kanchipuram","chromium","2026-02-26","failed","2026-02-26","Mock Browser API","mock-browserAPI.spec.ts","",""
"","5173","Multiple Windows Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","352","Partial Update Booking","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","2735","iFrames Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","317","Delete Booking","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","452","Update Booking","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","2959","Force Login Failure Test with Valid Credentials","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","network-interception.spec.ts","",""
"","6700","zerostep login test","chromium","2026-02-24","failed","2026-02-24","","aiTest.spec.ts","",""
"","18800","Mock Geolocation API","chromium","2026-02-26","passed","2026-02-26","Mock Browser API Tests","mock-browserAPI.spec.ts","",""
"","15430","Dynamic Elements Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","1667","Create Token","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","316","Create Booking","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","3442","Drag and Drop Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","4408","File Handling Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","1915","Shadow DOM Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","2945","Keyboard and Mouse Events Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
"","3185","Modify Login Request Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","network-interception.spec.ts","",""
"","8924","Modify Login Response Test","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","network-interception.spec.ts","",""
"","321","Get Booking","chromium","2026-02-25","passed","2026-02-25","Restful Booker API Tests","restful-booker.spec.ts","",""
"","10454","Login Test with Valid Credentials","chromium","2026-02-26","broken","2026-02-26","LearnQA Tests","network-interception.spec.ts","",""
"","4875","Authentication","login setup","2026-02-26","passed","2026-02-26","","learnqa-login.setup.spec.ts","",""
"","3669","BLock Login Test with Valid Credentials","chromium","2026-02-26","passed","2026-02-26","LearnQA Tests","network-interception.spec.ts","",""
"","22","Login Test with Valid Credentials","chromium","2026-02-26","skipped","2026-02-26","LearnQA Tests","learnqa.spec.ts","",""
